Region,Happiness Score,Health,Freedom,Trust
Africa,4.61,0.33475,0.25861,0.08079
Africa,5.129,0.29924,0.48827,0.12468
Africa,4.077,0.40064,0.35571,0.07854
Africa,6.901,0.80925,0.64157,0.38583
Africa,3.931,0.33861,0.45727,0.07267
Africa,5.332,0.73172,0.22815,0.15746
Africa,4.739,0.73793,0.26268,0.06358
Africa,2.839,0.28443,0.36453,0.10731
Africa,3.781,0.38215,0.32878,0.05747
Africa,3.006,0.72193,0.15684,0.18906
Africa,4.867,0.07566,0.30658,0.0306
Africa,4.55,0.36878,0.10081,0.1466
Africa,4.642,0.27688,0.33207,0.08884
Africa,5.057,0.43873,0.46582,0.39928
Africa,4.507,0,0.4084,0.08786
Africa,3.904,0.4354,0.36772,0.10713
Africa,6.411,0.72025,0.31048,0.32524
Africa,3.465,0.42864,0.59201,0.55191
Africa,6.611,0.79733,0.6404,0.52208
Africa,4.715,0.66015,0.24499,0.12905
Africa,6.853,0.76276,0.63274,0.32524
Africa,5.268,0.16007,0.34334,0.0403
Africa,3.845,0.29707,0.47692,0.15639
Africa,4.971,0.09131,0.34037,0.15603
Africa,5.013,0.60954,0.41691,0.08546
Africa,5.477,0.7095,0.56066,0.07521
Africa,4.436,0.35874,0.24232,0.17461
Africa,3.995,0.20583,0.38857,0.12352
Africa,4.292,0.22562,0.43054,0.06977
Africa,3.681,0.46721,0.19184,0.08124
Africa,5.754,0.7038,0.41668,0.11023
Africa,4.571,0.34201,0.28531,0.06232
Africa,4.898,0.07612,0.31767,0.12504
Africa,4.839,0.83947,0.33916,0.04582
Africa,6.295,0.72492,0.55499,0.25609
Africa,4.419,0.41435,0.42215,0.05839
Africa,5.192,0.69639,0.40661,0.14293
Africa,3.655,0.15185,0.46866,0.17922
Africa,7.278,0.91387,0.41319,0.07785
Africa,4.677,0.60237,0,0.13788
Africa,4.686,0.69805,0.30033,0.05863
Africa,3.656,0.24009,0.37725,0.12139
Africa,4.633,0.40132,0.42342,0.04355
Africa,3.896,0.43372,0.31914,0.11091
Africa,4.512,0.44055,0.4345,0.15048
Africa,4.194,0.61712,0.17288,0.06324
Africa,4.369,0.36291,0.46074,0.28105
Africa,4.517,0.09806,0.22605,0.07625
Africa,3.989,0.31051,0.41466,0.11686
Africa,3.956,0.36315,0.22917,0.199
Africa,3.667,0.1501,0.23501,0.05269
Africa,3.678,0.06699,0.48879,0.08289
Africa,4.252,0.23402,0.49309,0.05786
Africa,2.905,0.22396,0.1185,0.10062
Africa,3.587,0.27125,0.39493,0.12832
Africa,4.332,0.04776,0.49495,0.12474
Africa,3.34,0.3191,0.4845,0.0801
Africa,5.96,0.74716,0.45492,0.306
Africa,4.033,0.16683,0.10384,0.07122
Africa,5.605,0.61766,0.28579,0.17383
AsiaPacific,5.36,0.74676,0.59444,0.10441
AsiaPacific,6.455,0.7385,0.55664,0.03187
AsiaPacific,6.298,0.8753,0.3974,0.08129
AsiaPacific,4.271,0.70806,0.53726,0.09179
AsiaPacific,5.984,0.96538,0.33208,0.07857
AsiaPacific,6.798,1.02525,0.54252,0.4921
AsiaPacific,5.073,0.58114,0.62545,0.12279
AsiaPacific,5.194,0.51466,0.12102,0.10464
AsiaPacific,7.286,0.90837,0.63938,0.42922
AsiaPacific,4.514,0.56874,0.38282,0.05907
AsiaPacific,4.307,0.48246,0.44017,0.19034
AsiaPacific,4.874,0.60268,0.43626,0.02666
AsiaPacific,5.77,0.72394,0.53024,0.10501
AsiaPacific,4.876,0.54909,0.59591,0.24249
AsiaPacific,5.987,0.99111,0.49615,0.1806
AsiaPacific,5.399,0.63793,0.46611,0
AsiaPacific,4.565,0.51529,0.39786,0.08492
AsiaPacific,5.474,1.01328,0.59608,0.37124
AsiaPacific,5.14,0.81658,0.51697,0.02781
AsiaPacific,3.819,0.61114,0.66246,0.07247
AsiaPacific,5.253,0.57407,0.53206,0.15445
AsiaPacific,4.694,0.60164,0.4082,0.12569
AsiaPacific,7.284,0.93156,0.65124,0.35637
AsiaPacific,3.575,0.30335,0.23414,0.09719
Europe,6.003,0.59772,0.65821,0.30826
Europe,6.867,0.90943,0.59625,0.32067
Europe,4.681,0.6739,0.25123,0.02961
Europe,5.548,0.53886,0.4761,0.30844
Europe,4.786,0.57379,0.47216,0.15072
Europe,7.587,0.94143,0.66557,0.41978
Europe,7.364,0.91087,0.6598,0.43844
Europe,6.329,0.95562,0.45951,0.06398
Europe,5.848,0.87337,0.60855,0.03787
Europe,5.995,0.78902,0.31751,0.03431
Europe,5.123,0.74836,0.20107,0.02617
Europe,5.716,0.66926,0.36679,0.03005
Europe,5.124,0.7689,0.35068,0.00649
Europe,5.102,0.87519,0.51469,0.01078
Europe,5.791,0.77903,0.53122,0.04212
Europe,7.522,0.88521,0.66973,0.36503
Europe,5.695,0.92356,0.49027,0.1428
Europe,7.378,0.89284,0.61576,0.31814
Europe,5.192,0.72521,0.1826,0.14296
Europe,5.889,0.61826,0.32818,0.01615
Europe,6.302,0.88721,0.60365,0.13586
Europe,5.007,0.73545,0.33457,0.05327
Europe,6.946,0.91894,0.61583,0.37798
Europe,5.833,0.73128,0.21342,0.01031
Europe,5.098,0.72437,0.29671,0.06332
Europe,5.286,0.65088,0.43477,0.04232
Europe,5.589,0.63132,0.24749,0.04741
Europe,5.855,0.64368,0.51649,0.08454
Europe,5.948,0.95446,0.26236,0.02901
Europe,6.94,0.89533,0.61777,0.28703
Europe,7.561,0.94784,0.62877,0.14145
Europe,4.8,0.75905,0.32112,0.02758
Europe,4.857,0.88213,0.07699,0.01397
Europe,6.75,0.89186,0.61477,0.21843
Europe,4.297,0.72926,0.40577,0.38331
Europe,6.575,0.94579,0.55011,0.20646
Europe,7.406,0.88911,0.64169,0.41372
Europe,5.429,0.77361,0.44888,0.15184
Europe,7.527,0.87464,0.64938,0.48357
Europe,6.505,0.84483,0.46364,0.02652
Europe,5.689,0.92356,0.40672,0.06146
Europe,5.759,0.78805,0.25883,0.0243
Europe,4.218,0.76649,0.30587,0.00872
Europe,4.949,0.79081,0.09245,0.00227
Europe,6.937,0.89667,0.5845,0.2254
Europe,5.813,0.73608,0.37938,0.1909
Europe,5.212,0.64045,0.3703,0.16065
Europe,7.2,0.89042,0.62433,0.18676
Europe,4.35,0.7299,0.19847,0.039
Europe,4.959,0.81325,0.35733,0.06413
PanAmeric,6.81,0.72052,0.42908,0.11069
PanAmeric,6.485,0.8116,0.60362,0.24558
PanAmeric,7.119,0.86179,0.54604,0.1589
PanAmeric,6.168,0.61483,0.55884,0.0114
PanAmeric,6.269,0.6082,0.59657,0.13633
PanAmeric,5.824,0.73017,0.41496,0.05989
PanAmeric,5.878,0.66098,0.53899,0.08242
PanAmeric,6.786,0.79661,0.5421,0.0927
PanAmeric,5.828,0.74314,0.55475,0.19317
PanAmeric,7.187,0.81444,0.48181,0.21312
PanAmeric,5.709,0.68741,0.50442,0.02299
PanAmeric,4.788,0.6951,0.40148,0.06825
PanAmeric,4.518,0.38847,0.24425,0.17175
PanAmeric,6.123,0.64425,0.57733,0.09472
PanAmeric,6.13,0.67737,0.4035,0.11776
PanAmeric,5.975,0.79075,0.48574,0.1809
PanAmeric,4.885,0.66825,0.57672,0.14234
PanAmeric,7.226,0.86027,0.63376,0.10583
PanAmeric,6.477,0.69077,0.53466,0.0512
PanAmeric,6.67,0.85857,0.44132,0.12869
PanAmeric,7.427,0.90563,0.63297,0.32957
PanAmeric,6.983,0.69702,0.49049,0.17521
PanAmeric,5.89,0.5392,0.57414,0.088
PanAmeric,6.574,0.78723,0.44974,0.08484
